feature,coeff
categorical__Exterior 2nd_CBlock,0.0
categorical__Exterior 2nd_CmentBd,0.0
categorical__Exterior 2nd_HdBoard,-378.5697407340921
categorical__Exterior 2nd_ImStucc,0.0
categorical__Exterior 2nd_MetalSd,1663.6872989408716
categorical__Exterior 2nd_Plywood,-1346.9068752491996
categorical__Exterior 2nd_PreCast,0.0
categorical__Exterior 2nd_Stone,0.0
categorical__Exterior 2nd_Stucco,-0.0
categorical__Exterior 2nd_VinylSd,168.35949288909163
categorical__Exterior 2nd_Wd Sdng,-0.0
categorical__Exterior 2nd_Wd Shng,-0.0
categorical__Mas Vnr Type_BrkCmn,-868.5054720365853
categorical__Mas Vnr Type_BrkFace,0.0
categorical__Mas Vnr Type_CBlock,0.0
categorical__Mas Vnr Type_Stone,2997.767067797723
categorical__Exter Qual_Ex,17830.319727683003
categorical__Exter Qual_Fa,0.0
categorical__Exter Qual_Gd,-0.0
categorical__Exter Qual_TA,-2479.9503774237214
categorical__Exter Cond_Ex,-0.0
categorical__Exter Cond_Fa,-0.0
categorical__Exter Cond_Gd,0.0
categorical__Exter Cond_Po,0.0
categorical__Exter Cond_TA,1024.7761576190874
categorical__Foundation_BrkTil,0.0
categorical__Foundation_CBlock,-0.0
categorical__Foundation_PConc,3027.828633729562
categorical__Foundation_Slab,-11252.665310442777
categorical__Foundation_Stone,0.0
categorical__Foundation_Wood,0.0
categorical__Bsmt Qual_Ex,21974.275992773124
categorical__Bsmt Qual_Fa,0.0
categorical__Bsmt Qual_Gd,-170.77057238483874
categorical__Bsmt Qual_Po,0.0
categorical__Bsmt Qual_TA,-0.0
categorical__Bsmt Cond_Ex,0.0
categorical__Bsmt Cond_Fa,0.0
categorical__Bsmt Cond_Gd,-509.9814068710693
categorical__Bsmt Cond_Po,0.0
categorical__Bsmt Cond_TA,0.0
categorical__Bsmt Exposure_Av,8620.809748324662
categorical__Bsmt Exposure_Gd,18707.272355523903
categorical__Bsmt Exposure_Mn,-12.457107544666881
categorical__Bsmt Exposure_No,-1967.286308649122
categorical__BsmtFin Type 1_ALQ,2581.4189811549404
categorical__BsmtFin Type 1_BLQ,112.84252314232069
categorical__BsmtFin Type 1_GLQ,5928.173709108092
categorical__BsmtFin Type 1_LwQ,-1866.9860981926317
categorical__BsmtFin Type 1_Rec,-634.3157670334531
categorical__BsmtFin Type 1_Unf,-7590.235412119333
categorical__BsmtFin Type 2_ALQ,2896.9071592898586
categorical__BsmtFin Type 2_BLQ,-0.0
categorical__BsmtFin Type 2_GLQ,2467.005622464554
categorical__BsmtFin Type 2_LwQ,-0.0
categorical__BsmtFin Type 2_Rec,-0.0
categorical__BsmtFin Type 2_Unf,0.0
categorical__Heating_Floor,0.0
